Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
78633,740962061955899,March,WY,568.346,498.75,35,40,1,,47,2,1,1,4,"Native, Born In US",83,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,14.25,2.6567569067146595
78734,505905705891936,March,WY,358.6756,942.0,36,40,1,1.0,33,2,5,0,0,"Native, Born In US",83,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,26.166666666666668,3.264486336120253
79079,6906840999382,April,AK,578.0085,505.6,32,43,1,,32,2,1,2,5,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,15.8,2.760009940032921
79097,83620620697399,April,AK,693.6102,657.0,38,44,1,,32,2,5,0,0,"Foreign Born, Not a US Citizen",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,17.289473684210527,2.850097858758225
79144,720787006909063,April,AK,388.3884,400.0,38,42,1,,62,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,10.526315789473685,2.3538783873815965
79434,430940631160060,April,AZ,3418.9481,184.0,15,42,4,,47,2,1,2,10,"Foreign Born, Not a US Citizen",8,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,12.266666666666667,2.506885556506776
80674,660496026907491,April,CA,2748.3071,880.0,40,39,1,,38,2,1,4,8,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,22.0,3.091042453358316
81167,94932901061669,April,CA,3120.2974,875.0,25,42,1,,64,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,35.0,3.5553480614894135
81220,97936504000677,April,CA,3487.7033,288.0,20,43,1,1.0,22,1,7,0,0,"Foreign Born, Not a US Citizen",9,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,0,14.4,2.667228206581955
81316,196520820230009,April,CA,3196.7054,1923.0,36,40,1,,39,2,1,2,8,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,53.416666666666664,3.9781228071326695
81591,602907700499586,April,CA,2958.5456,235.84,35,40,1,1.0,51,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,6.738285714285714,1.907805547511558
